,Ingredient,Number of Usage
609,port win,61
610,polenta,61
611,cereal squar,61
612,rosemary leav,61
613,white potato,61
614,sunflower seed oil,61
615,white,60
616,queso fresco,60
617,bay scallop,60
618,star anise pod,59
619,wheat tortilla,59
620,chuck,59
621,rose wat,59
622,link,59
623,potato nugget,59
624,grapefruit,59
625,saffron thread,58
626,granola,58
627,cooking sherri,58
628,sourdough start,58
629,browning sauc,58
630,tart shel,57
631,nori,57
632,mango chunk,57
633,cherry juic,56
634,semolina flour,56
635,wood chip,56
636,lime leav,56
637,chipotle chil,56
638,sweet,56
639,soup,55
640,pork butt,55
641,cube,55
642,chili season,55
643,baking mix,55
644,chili,55
645,cheddar cheese soup,55
646,parchment pap,55
647,watercress,55
648,bitter,55
649,crab meat,54
650,blend,54
651,vanilla protein powd,54
652,nectarin,54
653,mozzarella,53
654,colby chees,53
655,stevia,53
656,buckwheat flour,53
657,bread dough,53
658,lemonad,53
659,wheat gluten,53
660,turkey meat,52
661,salsa verd,52
662,orange seg,52
663,herb,52
664,chili oil,52
665,corn tortilla,52
666,white corn,52
667,fajita season,51
668,chickpea flour,51
669,bacon greas,51
670,dill pickle juic,51
671,matzo m,51
672,arrowroot powd,51
673,pretzel crisp,50
674,cocktail sauc,50
675,beef consomm,50
676,ham bon,50
677,muenster chees,50
678,hoagie rol,50
679,coffee powd,50
680,instant ric,50
681,wrapped caramel,49
682,arugula leav,49
683,wooden skew,49
684,veal,48
685,whipped cream chees,48
686,banana bread,48
687,stick,47
688,apple butt,47
689,chicken bouillon powd,47
690,white homini,47
691,lobster meat,47
692,pork belli,47
693,chocolate candi,47
694,ziti pasta,46
695,masa harina,46
696,sweet pickl,46
697,taco shel,46
698,jigger vodka,46
699,kiss,46
700,lemon-lime soda,46
701,cheese sauc,46
702,agave syrup,46
703,cognac,45
704,orange bell pepp,45
705,wasabi past,45
706,pork roast,45
707,tamarind past,45
708,green salsa,45
709,farro,44
710,buttermilk bak,44
711,star anis,44
712,wine,44
713,bulgur,44
714,fettuccin,43
715,sugar pumpkin,43
716,leaf,43
717,gingersnap cooki,43
718,beef short,43
719,chocolate-hazelnut spread,43
720,bacon strip,43
721,kimchi,43
722,pork rib,43
723,ditalini pasta,43
724,burgundy win,42
725,sour cherri,42
726,pastry shel,42
727,brown lentil,42
728,steak,42
729,apple pie spic,42
730,mango chutney,42
731,vermouth,42
732,trout,42
733,honeydew melon,41
734,tapioca flour,41
735,packet,41
736,hemp se,41
737,havarti chees,41
738,hazelnut liqueur,41
739,heirloom tomato,41
740,plantain,41
741,alfredo sauc,41
742,biscuit,41
743,grape juic,41
744,turkey gravi,41
745,pineapple r,41
746,green tea powd,41
747,pepperoncini pepp,41
748,grape jelli,41
749,coffee bean,40
750,chayote squash,40
751,fri,40
752,harissa,40
753,kale leav,40
754,sweet pepp,40
755,ancho chile pepp,40
756,sorghum flour,39
757,baby corn,39
758,corn,39
759,mozzarella bal,39
760,caramel sauc,39
761,all-purpose bak,39
762,lamb should,39
763,dry mustard powd,39
764,beef bas,39
765,cooking win,38
766,corn chip,38
767,anchovy past,38
768,green tomato,38
769,chocolate morsel,38
770,cracker crumb,37
771,fava bean,37
772,prawn,37
773,fusilli pasta,37
774,creme de menth,37
775,egg whit,37
776,breadcrumb,37
777,pancetta bacon,37
778,ham steak,37
779,vanilla bean past,37
780,cake mix,37
781,beef round,37
782,baby arugula,37
783,ginger-garlic past,37
784,chop,37
785,chili past,37
786,cheese spread,37
787,luncheon meat,36
788,monterey jack chees,36
789,beef oxtail,36
790,black-eyed pea,36
791,hungarian paprika,36
792,artichok,36
793,bay season,36
794,pomegran,36
795,mahi fillet,36
796,soba noodl,36
797,bread rol,36
798,red bean,36
799,catfish fillet,36
800,lemon flavor,36
801,flaxseed m,35
802,udon noodl,35
803,orange flavor,35
804,radicchio,35
805,jalapeno chil,35
806,potato gnocchi,35
807,cookie crumb,35
808,creme de cacao,35
809,quarts oil,35
810,chocolate cookie crumb,35
811,orange sherbet,35
812,unsalted peanut,35
813,dinner rol,34
814,apricot nectar,34
815,linguini pasta,34
816,fruit jam,34
817,mexican crema,34
818,turmeric powd,34
819,persimmon,34
820,fish stock,34
821,buffalo wing sauc,34
822,millet,34
823,english,34
824,chili pepp,34
825,white cooking win,34
826,homini,34
827,tea bag,34
